framework,mode,status,optimizer_steps,target_tokens,measured_tokens_per_second,training_seconds,end_to_end_wall_seconds,torch_peak_allocated_mib,torch_peak_reserved_mib,nvidia_smi_process_peak_mib,process_peak_rss_mib,baseline_test_loss,post_test_loss,test_loss_delta,parameter_update_verified,torch,transformers,unsloth
transformers_pytorch,full,ok,93,1522190,4981.265737643635,305.7189469909972,360.4755278019984,8474.05,9248.0,9450.0,4619.54,2.540317780206653,2.1455673509886966,-0.39475042921795644,True,2.11.0+cu128,5.15.0,
unsloth,full,ok,93,1522190,4778.682171924606,319.12497816799805,386.05098298899975,7672.57,7832.0,8060.0,4364.41,2.5402007286715653,2.145477873830322,-0.39472285484124336,True,2.11.0+cu130,5.5.0,2026.8.18
